"","solID","MAPE","rsq_train","nrmse","decomp.rssd"
"74","4_210_5",0.0582196997904832,0.944929982326036,0.0523832913091226,0.196846535434328
"75","4_211_1",0.0522371703693389,0.947808569535944,0.0509958428804553,0.211003063816761
"76","4_211_5",0.0579389277132548,0.945029350015419,0.0523360100750342,0.190234910277852
"77","4_211_6",0.0520595154578124,0.948867682861829,0.0504757651735594,0.216732955519186
"78","4_212_1",0.0564007638443625,0.945859090420774,0.0519395219602162,0.200681591164652
"79","4_212_3",0.0526358356744243,0.947504256019626,0.0511442979861135,0.210267974401801
"80","4_212_5",0.0518274214805133,0.948333692006471,0.0507386477532766,0.212397903672997
"81","4_213_5",0.0706417014280348,0.937116703683567,0.0561552481720289,0.17591651655793
"82","4_213_7",0.0498766039744095,0.951369235637247,0.0492255664259765,0.327463732621538
"83","4_213_8",0.0585392880597568,0.944382994604317,0.0526427992946317,0.189650442699462
"84","4_214_7",0.05845988102175,0.94519873156377,0.0522553161617729,0.192748236267525
"85","4_214_9",0.0519894325929342,0.948948042829992,0.0504360855143492,0.219241359709061
"86","4_215_4",0.0561116823209604,0.946189872758956,0.0517806125594482,0.197889864833282
"87","4_215_6",0.0521993450069704,0.948514364870062,0.0506498556048619,0.212663524294799
"88","4_215_8",0.055701415315511,0.947353757133594,0.0512175577447151,0.214327411187376
"89","4_216_3",0.0520850429044815,0.949831093328677,0.0499979839250234,0.232909217890919
"90","4_216_5",0.0517577624881642,0.948939986353904,0.0504400650002474,0.232573589293839
"91","4_216_6",0.0586984329271391,0.945023126871204,0.0523389724315015,0.197007332294299
"92","4_217_3",0.0728810647025676,0.935656004998012,0.056803711405465,0.167288062249466
"93","4_217_8",0.0533141143638398,0.948406709576764,0.0507027818010913,0.217579388837275
"94","4_218_7",0.0561116823209604,0.946189872758956,0.0517806125594482,0.197889864833282
"95","4_219_5",0.0515873419491861,0.949081037252718,0.0503703476593846,0.230216778334208
"96","4_219_6",0.0535041703896761,0.949158051764345,0.05033224087697,0.232735396750501
"97","4_219_7",0.0541709093545196,0.948516311235506,0.0506488982110166,0.217162805408157
"98","4_219_9",0.0562330917424702,0.945823064581775,0.0519567995946476,0.19711523351743
"99","4_220_3",0.0525474090648454,0.948277455763144,0.0507662535087587,0.216472986752042
"100","4_220_5",0.05813660593277,0.945073114411648,0.0523151725012989,0.188823423483298
"101","4_220_6",0.0595237142347244,0.944239986187842,0.0527104362528805,0.188363562553397
"102","4_220_9",0.0503689134785065,0.951027855160747,0.049398042214649,0.249789995102693
"103","4_221_4",0.0592780302737503,0.944078190451208,0.0527868543318721,0.186729286007697
"104","4_221_6",0.0520115884067883,0.94901505485167,0.050402972837762,0.221968237707582
"105","4_222_1",0.0519491517221983,0.949656904993557,0.0500847061569865,0.231133786130006
"106","4_222_3",0.0540802679212825,0.948102698545154,0.0508519442664011,0.210220732481998
"107","4_222_9",0.0520321909030386,0.949964284766669,0.0499315709854693,0.255255136659863
"108","4_223_3",0.0563406423919951,0.945847557446678,0.0519450536853856,0.194620774412442
"109","4_223_5",0.0779811503352813,0.930267783755908,0.0591342966257211,0.170017501385231
"110","4_223_7",0.0501501541983346,0.950914234489618,0.0494553134145952,0.292686553639712
"111","4_223_8",0.0581375820031837,0.945073260688623,0.0523151028404198,0.188840777327689
"112","4_223_9",0.0703376897315625,0.93725008290589,0.0560956622434814,0.178379047106435
"113","5_169_9",0.0494846478631122,0.951378866779388,0.0492206917143704,0.319330306201465
"114","5_186_1",0.0504335432534483,0.951007693872735,0.0494082094809338,0.30768297588755
"115","5_186_6",0.0496738577689469,0.950928751889973,0.0494479995256267,0.28496791466282
"116","5_189_9",0.0494846478631122,0.951378866779388,0.0492206917143704,0.319330306201465
"117","5_199_2",0.0496245281837243,0.951201087472604,0.0493105953803212,0.298080252802898
"118","5_209_2",0.048955853756613,0.951835156718563,0.0489891890157179,0.348531458564154
"119","5_210_4",0.050587371853846,0.949888420476174,0.0499694098414057,0.267733041871838
"120","5_211_2",0.0541545395023736,0.946501140137572,0.0516306315771541,0.209323160226129
"121","5_211_9",0.0512904065043194,0.950098936974428,0.0498643397516882,0.264141378504426
"122","5_213_5",0.0488670133517776,0.951839418958219,0.0489870213736213,0.373848285964177
"123","5_217_4",0.0512679697057588,0.9507526664407,0.0495366387644422,0.289147042887038
"124","5_219_2",0.0488639808565659,0.951810952067149,0.049001496927742,0.357299826181343
"125","5_220_2",0.0488800279659355,0.951978281370913,0.0489163477404429,0.374766103343415
"126","5_220_7",0.0512703893589389,0.950563844006615,0.0496315137489263,0.273635002663814
"127","5_222_5",0.0488623120731496,0.951828201155097,0.0489927261923081,0.357136665842433
"128","5_222_9",0.0488377474163547,0.951225954093247,0.0492980300991149,0.30506543432165
"129","5_223_2",0.0496278996992136,0.950593660070853,0.0496165445470596,0.284722860803745
