"","solID","mape","decomp.rssd","nrmse","nrmse_train","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_S_thetas","tv_S_thetas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_S_alphas","tv_S_alphas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_S_gammas","tv_S_gammas","cluster","n","top_sol"
"53","4_191_6",0,0.217686048018287,0.0506689195366013,0.0506689195366013,0.668930031063668,0.948380420612109,0.998867508768639,0.0109736918318896,0.790019531550625,0.107461573479729,0.158777222957663,0.395911723852724,0.00639572145847486,0.862580691241182,0.734320151473967,0.928758993665417,0.309340988354507,0.638215222070973,0.142023889774854,0.156378496079373,0.239231704834654,0.208914621386006,3,47,FALSE
"54","4_194_2",0,0.208756316265672,0.0517435861177031,0.0517435861177031,0.985726027223477,0.963863037547752,0.843285522006326,0.0298720266232911,0.790428523376414,0.363229645125586,0.124007721605574,0.401583197674355,0.0121587242236589,0.8509619766867,0.889470696158615,0.77667544300578,0.285988598520574,0.485435886777647,0.014745396197911,0.206424141328248,0.443850952498467,0.496571171211932,3,47,FALSE
"55","4_194_4",0,0.269132679668089,0.0495445081340426,0.0495445081340426,0.0426037611920718,0.872556775719024,0.980251753156615,0.038938017251711,0.898055080950071,0.0947544962815191,0.0427918884264904,0.589026628475975,0.0410405160499704,0.913779048351052,0.738025360306103,0.973901494998419,0.088054595712813,0.99533621539427,0.282757863403977,0.109398955311292,0.0223613994166963,0.00303870667727587,3,47,FALSE
"56","4_194_8",0,0.24618348758261,0.0500115143835777,0.0500115143835777,0.277210277600393,0.91447876385998,1,0.0677893965291161,0.952360650732187,0.1352187332922,0.243811787582108,0.482413205379488,0.0258158645742434,0.904812374352971,0.884762198576657,0.827125167734461,0.182946910216248,0.821004524878795,0.165298681794122,0.108425871996644,0.41684629141966,0.0949070285324623,3,47,FALSE
"57","4_195_1",0,0.267042518566609,0.0498224963745741,0.0498224963745741,0.404006770956101,0.951911269118511,0.878679122099678,0.164867813424302,1,0.207891011931635,0.171704914038896,0.444159122564708,0.0166197855051535,0.618753268704042,0.701265085961816,0.837770038472678,0.0521185143456139,0.81355940983057,0.136425514539386,0.276242568048078,0.0193590709878766,0.0472170379730934,3,47,FALSE
"58","4_196_8",0,0.188151035622101,0.0529308227358246,0.0529308227358246,0.516424349279801,0.985737962522444,0.953608842649246,0.179653638776012,0.845014051432388,0.394577552446641,0.810584602463903,0.489778778840223,0.0194288485238275,0.972408465503459,0.819884535423938,0.913177254768263,0.412216924677771,0.53910680859321,0.0737018679643153,0.0565253762808016,0.640684014368606,0.659555932175043,4,25,FALSE
"59","4_197_5",0,0.205802627217533,0.0516917593852944,0.0516917593852944,0.965024255671403,0.963863037547752,0.843285522006326,0.0298720266232911,0.609696364835627,0.33085825543317,0.143664459068006,0.401583197674355,0.0121587242236589,0.8509619766867,0.889470696158615,0.813620745243073,0.290966956921113,0.485435886777647,0.014745396197911,0.206424141328248,0.443850952498467,0.449989990447381,3,47,FALSE
"60","4_198_2",0,0.234271670932824,0.050025079883564,0.050025079883564,0.277210277600393,0.992264061940957,1,0.0677893965291161,0.952360650732187,0.1352187332922,0.243811787582108,0.630508790044708,0.0187854495828606,0.904812374352971,0.884762198576657,0.827125167734461,0.182946910216248,0.469166462576886,0.00148542001262539,0.108425871996644,0.41684629141966,0.0949070285324623,3,47,FALSE
"61","4_198_3",0,0.222172944321702,0.0503322523428324,0.0503322523428324,0.982305833895524,0.975501746037723,0.952011793295619,0.00838687603477316,0.822871043925828,0.0765695580664518,0.457772662110814,0.326710538607836,0.0086312803919932,0.826289408097238,0.804729774363311,0.909036272098037,0.410456250943102,0.491983779851954,0.0178994158273596,0.192676570993941,0.349707335158065,0.14983711128868,3,47,FALSE
"62","4_200_2",0,0.175065131158103,0.0561599006138609,0.0561599006138609,0.402957991471798,0.985737962522444,0.941674642548513,0.35027986055995,0.697938137353913,0.467397624395395,0.793131174245507,0.338174484078402,0.0194288485238275,0.869239942634203,0.844463277208598,0.742939541976292,0.609907995592035,0.53910680859321,0.0737018679643153,0.145277319145694,0.742348776897095,0.608461684559104,4,25,FALSE
