"","solID","mape","MAPE_train","decomp.rssd","nrmse","nrmse_train","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_S_thetas","tv_S_thetas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_S_alphas","tv_S_alphas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_S_gammas","tv_S_gammas","cluster","n","top_sol"
"17","3_114_3",0,0.0592799304035483,0.230572885873747,0.053186588490179,0.053186588490179,0.777666570234536,0.881568409033914,0.520345598869486,0.446751580631984,0.966350752392926,0.11151128498985,0.78855651435464,0.522401714047571,0.235359907530512,0.574774042695883,0.390505784958323,0.952929522605557,0.277049983306869,0.64851360481581,1,0.734949743228959,0.820181035854792,0.739511195651402,1,27,FALSE
"18","3_115_4",0,0.0567088329162497,0.241045970402498,0.0524293747819109,0.0524293747819109,0.680763995155247,0.472190641252101,0.0164135922999135,0.341482684210205,0.948163870429668,0.357363350457806,1,0.303479120053646,0.184606614187739,0.802605985450621,0.514454112293378,0.836170466131669,0.299726451503318,0.834835146183567,0.92011762697279,0.523960062689471,0.968779316975288,0.655823794082856,5,12,FALSE
"19","3_116_3",0,0.0571237621143284,0.236982757261268,0.0523505232957465,0.0523505232957465,0.84255068733935,0.961248621755848,0.924846027936447,0.0930544120710648,0.873973456034139,0.0555367848651874,0.981659138202806,0.402129057197738,0.398138865928848,0,0.993498558988085,0.730870051499765,0.263994314858789,0.492216754765121,0.872859496372235,0.479239973671082,0.784818259873632,0.587700386590268,1,27,FALSE
"20","3_119_6",0,0.0566273798682385,0.22811964084401,0.0521802218923407,0.0521802218923407,0.726938213226549,0.87428927196653,0.738134717885724,0.268466654081818,0.873973456034139,0.0555367848651874,0.922226703526609,0.855050452800803,0.243626966706809,0.573834287120659,0.993498558988085,0.730870051499765,0.273493035610012,0.802631826538151,0.889924367688755,0.819986574874784,0.784818259873632,0.587700386590268,1,27,FALSE
"21","3_122_9",0,0.0566261015503733,0.227946318789706,0.0521807501789503,0.0521807501789503,0.726938213226549,0.87428927196653,0.738134717885724,0.268466654081818,0.873973456034139,0.0555367848651874,0.922226703526609,0.855050452800803,0.243626966706809,0.573834287120659,0.993498558988085,0.730870051499765,0.273493035610012,0.802631826538151,0.871795092763359,0.819986574874784,0.784818259873632,0.587700386590268,1,27,FALSE
"22","3_126_3",0,0.0568423236964567,0.220562475511243,0.0522211638041099,0.0522211638041099,0.597267169839978,0.87428927196653,0.738134717885724,0.268466654081818,0.873973456034139,0.0555367848651874,0.661888267944242,0.641518184798541,0.243626966706809,0.573834287120659,0.993498558988085,0.730870051499765,0.347003130035395,0.802631826538151,0.871795092763359,0.819986574874784,0.784818259873632,0.587700386590268,1,27,FALSE
"23","3_128_2",0,0.0547115752862457,0.239529032068318,0.0519112784493079,0.0519112784493079,0.32763262673058,0.0563951421240969,0.424146224681927,0.189797617298472,0.523343210696364,0.115873000535565,0.58439971727993,0.30422298558151,0.289704598720801,0.924543012785529,0.691938356246305,0.429060964242056,0.410116298404156,0.622625733230614,0.0437427142071523,0.746159210956498,0.649243411565316,0.712600872268891,2,25,FALSE
"24","3_135_9",0,0.0583583975396373,0.210042123150403,0.0532829363130876,0.0532829363130876,0.418388383292207,0.534745122640954,0.94032259306565,0.308555437870688,0.393357384255839,0.124817902792646,0.779355596652524,0.318779359237427,0.107412802288514,0.745952191900156,0.701169360619479,0.902530366201851,0.395994524195512,0.7042736134429,0.0952735705230618,0.806649798770388,0.176015777080874,0.902317044918847,2,25,FALSE
"25","3_142_9",0,0.0567219162571843,0.234442890612977,0.052168673554843,0.052168673554843,0.982151398783626,0.87428927196653,0.738134717885724,0.268466654081818,0.873973456034139,0.0555367848651874,0.922226703526609,0.798542460581135,0.243626966706809,0.573834287120659,0.993498558988085,0.730870051499765,0.164194425395496,0.802631826538151,0.871795092763359,0.819986574874784,0.784818259873632,0.587700386590268,1,27,FALSE
"26","3_149_2",0,0.0562739723676083,0.219776289930842,0.0525979598363703,0.0525979598363703,0.418015494279761,0.848248590410522,0.352546596621681,0.211436384556248,0.331229897434892,0.404760797425747,0.569044740996921,0.594580642435024,0.303150413089472,0.747788155520263,0.830596236168018,0.830788757225111,0.274493202629522,0.899899826558452,0.128877781217763,0.639224809140408,0.298663484267659,0.901770531012508,2,25,FALSE
