,solID,nrmse,decomp.rssd,MAPE_train,KL_Divergence,,CD,CE,CF,DE,DF,EF 
65,1_8_2,0.196920747,0.711049557,0.35017209,1.198334763,,,,,,,
66,1_8_3,0.215181656,0.676852162,0.383513009,1.635172299,,,,,,,
67,1_8_4,0.193629964,0.716915234,0.343644041,1.124329006,,,,,,,
68,1_8_5,0.217006886,0.695472839,0.387376438,1.719839124,,,,,,,
69,1_8_6,0.220772251,0.70211421,0.394028514,1.854541973,,,,,,,
70,1_8_7,0.220954874,0.619171727,0.394383744,1.863299454,,,,,,,
71,1_8_8,0.168837962,0.699688549,0.296927452,0.804388753,,,,,,,
72,1_8_9,0.210233195,0.746670422,0.375002407,1.489942997,,,,,,,
73,1_9_1,0.221000105,0.713119995,0.394547064,1.879485688,,,,,,,
74,1_9_2,0.218520923,0.714291788,0.389912248,1.767207254,,,,,,,
75,1_9_3,0.210889199,0.738247398,0.375555925,1.500330718,,,,,,,
76,1_9_4,0.213180048,0.677005044,0.380240767,1.58471314,,,,,,,
77,1_9_5,0.216463767,0.691800881,0.386295979,1.693718046,,,,,,,
78,1_9_6,0.208645449,0.732656747,0.371677226,1.435900302,,,,,,,
79,1_9_7,0.214952836,0.680548735,0.383473308,1.633683488,,,,,,,
80,1_9_8,0.216958307,0.755923881,0.387147549,1.711421544,,,,,,,
81,1_9_9,0.220279727,0.683910452,0.393245418,1.859202504,,,,,,,
82,1_10_1,0.224053517,0.645642803,0.400125483,2.055499807,,,,,,,
83,1_10_2,0.222226461,0.717423099,0.396745256,1.949497031,,,,,,,
84,1_10_3,0.200638477,0.713365563,0.357363448,1.276043925,,,,,,,
85,1_10_4,0.184082447,0.694628733,0.325796062,0.983832689,,,,,,,
86,1_10_5,0.183834727,0.709155221,0.325769553,1.001895625,,,,,,,
87,1_10_6,0.219518849,0.56368264,0.391844103,1.801842338,,,,,,,
88,1_10_7,0.209816879,0.543472876,0.374089448,1.485407776,,,,,,,
89,1_10_8,0.2213386,0.661336438,0.395163798,1.896811136,,,,,,,
90,1_10_9,0.22136113,0.688539953,0.395220468,1.897592911,,,,,,,
91,1_11_1,0.215013352,0.707611565,0.383584025,1.641251931,,,,,,,
92,1_11_2,0.197515419,0.709364952,0.35113524,1.21133318,,,,,,,
93,1_11_3,0.170586496,0.695234731,0.300790707,0.822981445,,,,,,,
94,1_11_4,0.212434695,0.673710066,0.378672844,1.546321806,,,,,,,
95,1_11_5,0.199102558,0.65644121,0.353967125,1.232340309,,,,,,,
96,1_11_6,0.21518256,0.636295078,0.383512189,1.6405097,,,,,,,
97,1_11_7,0.203318611,0.725836403,0.362065641,1.311595478,,,,,,,
98,1_11_8,0.223385161,0.698194908,0.398927861,2.004783337,,,,,,,
99,1_11_9,0.098417197,0.548321374,0.161524103,0.264858862,,,,,,,
100,1_12_1,0.213762815,0.605137601,0.381296262,1.591601833,,,,,,,
101,1_12_2,0.168778231,0.697161428,0.296760249,0.802001873,,,,,,,
102,1_12_3,0.200958266,0.764305422,0.357870811,1.276294096,,,,,,,
103,1_12_4,0.2160007,0.750079577,0.385374741,1.668954347,,,,,,,
104,1_12_5,0.219524272,0.650174125,0.391802029,1.810444919,,,,,,,
105,1_12_6,0.192674374,0.737106182,0.341482542,1.122771107,,,,,,,
106,1_12_7,0.212984658,0.616115405,0.379933445,1.581375607,,,,,,,
107,1_12_8,0.190407745,0.73513415,0.338114949,1.092030908,,,,,,,
108,1_12_9,0.053785798,0.558564981,0.063808933,0.010834427,,,,,,,
109,1_13_1,0.215599441,0.673530199,0.384623922,1.659946329,,,,,,,
110,1_13_2,0.216901326,0.729373837,0.387022571,1.710775037,,,,,,,
111,1_13_3,0.205180821,0.752081079,0.365450254,1.376425577,,,,,,,
112,1_13_4,0.155860249,0.67854355,0.272485426,0.669332467,,,,,,,
113,1_13_5,0.201443707,0.657532157,0.358658494,1.293814227,,,,,,,
114,1_13_6,0.219367257,0.590338418,0.391556833,1.808315284,,,,,,,
115,1_13_7,0.116423029,0.677233524,0.196234543,0.354468822,,,,,,,
116,1_13_8,0.183789696,0.709334418,0.325700785,0.999931893,,,,,,,
117,1_13_9,0.190536349,0.714684889,0.338515349,1.089035509,,,,,,,
118,1_14_1,0.208691617,0.646726544,0.371904606,1.452002899,,,,,,,
119,1_14_2,0.221366387,0.661647983,0.395217187,1.897820559,,,,,,,
120,1_14_3,0.220819573,0.577643961,0.394209532,1.872134967,,,,,,,
121,1_14_4,0.163838059,0.718604714,0.287046419,0.737587348,,,,,,,
122,1_14_5,0.217602721,0.607224339,0.388214054,1.729806576,,,,,,,
123,1_14_6,0.203791455,0.749367269,0.362908336,1.324783543,,,,,,,
124,1_14_7,0.194475069,0.721777202,0.345828974,1.160782971,,,,,,,
125,1_14_8,0.196205401,0.682351599,0.348692477,1.18353762,,,,,,,
126,1_14_9,0.211473723,0.595312762,0.377280531,1.533486457,,,,,,,
127,1_15_1,0.194207448,0.719843559,0.34457077,1.130610812,,,,,,,
128,1_15_2,0.217151561,0.593634066,0.387546678,1.714642855,,,,,,,
129,1_15_3,0.099596413,0.652535544,0.163823179,0.265370719,,,,,,,
130,1_15_4,0.15970187,0.719137107,0.280163163,0.715682971,,,,,,,
131,1_15_5,0.201330435,0.674141236,0.358157437,1.288018483,,,,,,,
132,1_15_6,0.200708472,0.757263257,0.357552713,1.271176618,,,,,,,
133,1_15_7,0.215941534,0.753205674,0.385269005,1.669015889,,,,,,,
134,1_15_8,0.218757877,0.647172497,0.390468592,1.782856667,,,,,,,
135,1_15_9,0.143771053,0.725981725,0.249510563,0.564303647,,,,,,,
136,1_16_1,0.212505906,0.710011798,0.378832178,1.549853685,,,,,,,
137,1_16_2,0.216475966,0.69185555,0.386311386,1.694022193,,,,,,,
138,1_16_3,0.09109564,0.566133421,0.145276202,0.191918625,,,,,,,
139,1_16_4,0.215032624,0.680678173,0.383641222,1.638336207,,,,,,,
140,1_16_5,0.216875625,0.729214942,0.386984408,1.709668813,,,,,,,
141,1_16_6,0.148519458,0.727575132,0.258647038,0.604661547,,,,,,,
142,1_16_7,0.156628375,0.701013973,0.273915495,0.671096511,,,,,,,
143,1_16_8,0.208301757,0.708534691,0.371060555,1.434717061,,,,,,,
144,1_16_9,0.178419145,0.621818777,0.31545033,0.928857469,,,,,,,
145,1_17_1,0.204334502,0.687631814,0.363773178,1.347659481,,,,,,,
146,1_17_2,0.134607766,0.591126516,0.232659012,0.512989123,,,,,,,
147,1_17_3,0.208108879,0.58178849,0.371146548,1.4471652,,,,,,,
148,1_17_4,0.208656435,0.57622463,0.371860475,1.452580757,,,,,,,
149,1_17_5,0.189159018,0.679457368,0.335711895,1.066739991,,,,,,,
150,1_17_6,0.220915794,0.575389766,0.394398677,1.88260958,,,,,,,
151,1_17_7,0.202747964,0.765176187,0.361034865,1.309266545,,,,,,,
152,1_17_8,0.208835131,0.579227163,0.372356008,1.460046783,,,,,,,
153,1_17_9,0.16950331,0.721678211,0.298181803,0.807304747,,,,,,,
154,1_18_1,0.194680501,0.610467215,0.346263229,1.170337834,,,,,,,
155,1_18_2,0.147597655,0.629560296,0.2569263,0.602133505,,,,,,,
156,1_18_3,0.153727753,0.634485687,0.268438153,0.663815114,,,,,,,
157,1_18_4,0.208380184,0.629844224,0.371375289,1.431769852,,,,,,,
158,1_18_5,0.217014035,0.701853975,0.387393332,1.719511531,,,,,,,
159,1_18_6,0.098197401,0.624710727,0.161680475,0.261219496,,,,,,,
160,1_18_7,0.094493762,0.667102754,0.153374961,0.2165321,,,,,,,
161,1_18_8,0.203940682,0.695857247,0.362651852,1.334688829,,,,,,,
162,1_18_9,0.139562499,0.73162567,0.241303058,0.520242556,,,,,,,
163,1_19_1,0.215525036,0.675354902,0.384513894,1.654025389,,,,,,,
164,1_19_2,0.21988897,0.604614788,0.39260577,1.83153881,,,,,,,
165,1_19_3,0.203940393,0.74988139,0.363070136,1.33628915,,,,,,,
166,1_19_4,0.219163979,0.588778816,0.391147972,1.789469833,,,,,,,
167,1_19_5,0.216668369,0.704987953,0.386559867,1.688226036,,,,,,,
168,1_19_6,0.051641228,0.597980387,0.056712279,0.041454966,,,,,,,
169,1_19_7,0.21083157,0.61801979,0.375894821,1.505403665,,,,,,,
170,1_19_8,0.216884828,0.744876025,0.386954682,1.700854058,,,,,,,
171,1_19_9,0.20367381,0.780245865,0.362830747,1.321399362,,,,,,,
172,1_20_1,0.156363073,0.730331667,0.273691945,0.681382459,,,,,,,
173,1_20_2,0.199184538,0.617694964,0.354228115,1.252726246,,,,,,,
174,1_20_3,0.179496107,0.737774183,0.317527425,0.941811688,,,,,,,
175,1_20_4,0.116761557,0.711836329,0.196983755,0.354604838,,,,,,,
176,1_20_5,0.127303739,0.594343844,0.218977985,0.473973729,,,,,,,
177,1_20_6,0.209091588,0.670024726,0.373024821,1.473948775,,,,,,,
178,1_20_7,0.209695055,0.575975494,0.373786483,1.470853359,,,,,,,
179,1_20_8,0.190914908,0.657089822,0.339177275,1.096810405,,,,,,,
180,1_20_9,0.220823081,0.575727961,0.394256424,1.879939265,,,,,,,
181,1_21_1,0.16470381,0.701719941,0.289527997,0.748712218,,,,,,,
182,1_21_2,0.197536731,0.710248268,0.351188519,1.212260431,,,,,,,
183,1_21_3,0.169503539,0.721711119,0.298183045,0.807422701,,,,,,,
184,1_21_4,0.130071848,0.674604594,0.2233082,0.479961421,,,,,,,
185,1_21_5,0.11241036,0.61035285,0.188909362,0.350518233,,,,,,,
186,1_21_6,0.154101688,0.638438851,0.269320831,0.665229373,,,,,,,
187,1_21_7,0.162254419,0.599039472,0.284978966,0.724841047,,,,,,,
188,1_21_8,0.217456448,0.674955352,0.388162712,1.729679662,,,,,,,
189,1_21_9,0.122824524,0.677789132,0.208779088,0.426931164,,,,,,,
190,1_22_1,0.094433118,0.663999207,0.153098574,0.219600739,,,,,,,
191,1_22_2,0.124200412,0.506168352,0.211426338,0.423436727,,,,,,,
192,1_22_3,0.11021605,0.7292985,0.183985719,0.322410778,,,,,,,
193,1_22_4,0.215799604,0.705894365,0.385112909,1.670318827,,,,,,,
194,1_22_5,0.218175814,0.699078577,0.389307619,1.755628522,,,,,,,
195,1_22_6,0.205870403,0.561145239,0.366695976,1.37840534,,,,,,,
196,1_22_7,0.212491328,0.710834756,0.378786515,1.548550545,,,,,,,
197,1_22_8,0.216459516,0.691197504,0.386284914,1.684150402,,,,,,,
198,1_22_9,0.053623838,0.599058523,0.063262336,0.02394244,,,,,,,
199,1_23_1,0.21061462,0.686383464,0.375463729,1.493436418,,,,,,,
200,1_23_2,0.184197443,0.673564285,0.326423345,0.995949935,,,,,,,
201,1_23_3,0.050957018,0.698610361,0.051391602,0.008511205,,,,,,,
202,1_23_4,0.15620306,0.687522598,0.273101685,0.675393877,,,,,,,
203,1_23_5,0.150503163,0.585405657,0.262885428,0.636725478,,,,,,,
204,1_23_6,0.13100262,0.525394959,0.224507748,0.477703283,,,,,,,
205,1_23_7,0.116800328,0.675943492,0.197821043,0.374251611,,,,,,,
206,1_23_8,0.126593538,0.76411695,0.215950685,0.439701238,,,,,,,
207,1_23_9,0.190298114,0.690620375,0.338073835,1.086271509,,,,,,,
208,1_24_1,0.166338835,0.603312914,0.292456491,0.769737939,,,,,,,
209,1_24_2,0.104251347,0.730349495,0.172640272,0.267782529,,,,,,,
210,1_24_3,0.187146225,0.56913605,0.332292397,1.045447476,,,,,,,
211,1_24_4,0.150344801,0.700191007,0.261896403,0.624580665,,,,,,,
212,1_24_5,0.198437867,0.717565516,0.352992966,1.230347951,,,,,,,
213,1_24_6,0.169913793,0.743125142,0.298805633,0.794217302,,,,,,,
214,1_24_7,0.130444667,0.685705455,0.224711772,0.479243072,,,,,,,
215,1_24_8,0.111873057,0.556956102,0.188299036,0.355260229,,,,,,,
216,1_24_9,0.115330271,0.61959535,0.195164474,0.363565784,,,,,,,
217,1_25_1,0.162601204,0.711419579,0.285905111,0.719103565,,,,,,,
218,1_25_2,0.217017448,0.700094804,0.38740233,1.719280883,,,,,,,
219,1_25_3,0.064533288,0.608489819,0.090348401,0.064000856,,,,,,,
220,1_25_4,0.060325418,0.67487394,0.080373084,0.037868863,,,,,,,
221,1_25_5,0.124709693,0.606213476,0.213000723,0.451554725,,,,,,,
222,1_25_6,0.137300263,0.555081619,0.237584656,0.52965718,,,,,,,
223,1_25_7,0.171819524,0.635523648,0.302741107,0.824032727,,,,,,,
224,1_25_8,0.218328403,0.72076693,0.389573605,1.761186893,,,,,,,
225,1_25_9,0.143158842,0.668340004,0.248416706,0.562597397,,,,,,,
226,1_26_1,0.212832538,0.726956136,0.379546057,1.562882364,,,,,,,
227,1_26_2,0.216792412,0.636031408,0.386863574,1.700672689,,,,,,,
228,1_26_3,0.084014353,0.69643837,0.132298539,0.161494401,,,,,,,
229,1_26_4,0.210761949,0.672840785,0.375866051,1.505660551,,,,,,,
230,1_26_5,0.183835715,0.664076756,0.32576533,0.991693601,,,,,,,
231,1_26_6,0.050833387,0.696714712,0.051248536,0.013450181,,,,,,,
232,1_26_7,0.156837727,0.751893461,0.274747321,0.691542979,,,,,,,
233,1_26_8,0.086003149,0.690438867,0.136244565,0.166057902,,,,,,,
234,1_26_9,0.077841306,0.665968667,0.119324097,0.138224331,,,,,,,
235,1_27_1,0.099950794,0.660478555,0.164595766,0.254564484,,,,,,,
236,1_27_2,0.126555298,0.749643193,0.215728398,0.437085295,,,,,,,
237,1_27_3,0.150042068,0.666430716,0.261266083,0.62470865,,,,,,,
238,1_27_4,0.101350426,0.604616203,0.166719045,0.272136679,,,,,,,
239,1_27_5,0.077442272,0.735763104,0.117947845,0.125868026,,,,,,,
240,1_27_6,0.187520722,0.59520935,0.332820637,1.048307275,,,,,,,
241,1_27_7,0.09199818,0.698287377,0.150240811,0.208620295,,,,,,,
242,1_27_8,0.157888989,0.707009392,0.276982842,0.71373678,,,,,,,
243,1_27_9,0.104678061,0.732692239,0.17446405,0.296716824,,,,,,,
244,1_28_1,0.130316295,0.681293061,0.224244547,0.476888309,,,,,,,
245,1_28_2,0.11293046,0.738850707,0.190124765,0.35904703,,,,,,,
246,1_28_3,0.115761929,0.622318396,0.196346061,0.371338767,,,,,,,
247,1_28_4,0.162069781,0.56367784,0.28459058,0.72284805,,,,,,,
248,1_28_5,0.173974764,0.684120537,0.307725193,0.869806208,,,,,,,
249,1_28_6,0.064565783,0.664349578,0.090259345,0.058193852,,,,,,,
250,1_28_7,0.054936422,0.627906613,0.066620934,0.03773609,,,,,,,
251,1_28_8,0.126007099,0.628895826,0.214321741,0.434375784,,,,,,,
252,1_28_9,0.097466671,0.63821307,0.159948946,0.245212366,,,,,,,
253,1_29_1,0.172988797,0.590287651,0.304916622,0.859474222,,,,,,,
254,1_29_2,0.218374809,0.736572128,0.38958899,1.759042117,,,,,,,
255,1_29_3,0.080791845,0.626870199,0.125592743,0.134452117,,,,,,,
256,1_29_4,0.173100734,0.607501035,0.306038295,0.853797647,,,,,,,
257,1_29_5,0.187526761,0.705424684,0.332745004,1.045786385,,,,,,,
258,1_29_6,0.114908536,0.581517749,0.193874927,0.353074291,,,,,,,
259,1_29_7,0.211388003,0.707788013,0.377054701,1.521755953,,,,,,,
260,1_29_8,0.055635203,0.514922272,0.069724067,0.033944621,,,,,,,
261,1_29_9,0.050781363,0.668270581,0.051293832,0.011284793,,,,,,,
262,1_30_1,0.155714391,0.692184686,0.272136411,0.668116479,,,,,,,
263,1_30_2,0.085936763,0.681229816,0.136196046,0.166884619,,,,,,,
264,1_30_3,0.055581208,0.656379144,0.068328318,0.063845572,,,,,,,
265,1_30_4,0.098056574,0.652921676,0.162008098,0.251877506,,,,,,,
266,1_30_5,0.079802929,0.649494235,0.123820364,0.143377642,,,,,,,
267,1_30_6,0.150051577,0.666841663,0.261275271,0.624972945,,,,,,,
268,1_30_7,0.101064808,0.600568799,0.166458292,0.270807967,,,,,,,
269,1_30_8,0.057423512,0.695524264,0.073358623,0.035100864,,,,,,,
270,1_30_9,0.120707379,0.568887999,0.205334309,0.403337133,,,,,,,
271,1_31_1,0.120719159,0.70107633,0.20621929,0.403836043,,,,,,,
272,1_31_2,0.157578866,0.702792577,0.276143209,0.715635054,,,,,,,
273,1_31_3,0.103873466,0.645324772,0.171479565,0.27450793,,,,,,,
274,1_31_4,0.076061576,0.676143741,0.114360393,0.101515219,,,,,,,
275,1_31_5,0.069361136,0.551977284,0.102086624,0.071732633,,,,,,,
276,1_31_6,0.066186562,0.533984786,0.09523162,0.053179368,,,,,,,
277,1_31_7,0.097955366,0.654952986,0.162033408,0.243355959,,,,,,,
278,1_31_8,0.175435593,0.704053714,0.309802772,0.875728231,,,,,,,
279,1_31_9,0.057432333,0.629473373,0.073378543,0.030689798,,,,,,,
280,1_32_1,0.055368071,0.532308759,0.06742974,0.044972789,,,,,,,
281,1_32_2,0.124200412,0.506168352,0.211426338,0.423436727,,,,,,,
282,1_32_3,0.064072019,0.63687336,0.090516559,0.067267237,,,,,,,
283,1_32_4,0.173221708,0.602496038,0.305765301,0.847108709,,,,,,,
284,1_32_5,0.180521346,0.688676097,0.319796966,0.95069645,,,,,,,
285,1_32_6,0.080721112,0.630670552,0.125700003,0.13880353,,,,,,,
286,1_32_7,0.066293714,0.688619436,0.094226564,0.062983209,,,,,,,
287,1_32_8,0.186954782,0.692096988,0.331911887,1.039129871,,,,,,,
288,1_32_9,0.11521952,0.654352535,0.194662796,0.361254825,,,,,,,
289,1_33_1,0.21093799,0.726533141,0.376050015,1.501217143,,,,,,,
290,1_33_2,0.051319928,0.606253319,0.055685307,0.022711058,,,,,,,
291,1_33_3,0.050781648,0.667835291,0.051297576,0.012159428,,,,,,,
292,1_33_4,0.089864708,0.659275851,0.144206023,0.188514294,,,,,,,
293,1_33_5,0.085460324,0.493246048,0.135744187,0.170704361,,,,,,,
294,1_33_6,0.051013071,0.677380319,0.053534431,0.008857655,,,,,,,
295,1_33_7,0.06435003,0.608426052,0.091865645,0.061985841,,,,,,,
296,1_33_8,0.079770857,0.6670756,0.123831226,0.137150283,,,,,,,
297,1_33_9,0.091645823,0.623420144,0.147094605,0.213308939,,,,,,,
298,1_34_1,0.101186798,0.60402298,0.166924794,0.269050928,,,,,,,
299,1_34_2,0.057724397,0.571961273,0.074775029,0.038380031,,,,,,,
300,1_34_3,0.120781395,0.627617398,0.205647119,0.39848336,,,,,,,
301,1_34_4,0.058721088,0.672988739,0.077511835,0.041382414,,,,,,,
302,1_34_5,0.107439071,0.684576232,0.17943696,0.31624672,,,,,,,
303,1_34_6,0.104209282,0.721984081,0.172429725,0.267517017,,,,,,,
304,1_34_7,0.057953142,0.597047587,0.07539115,0.044019058,,,,,,,
305,1_34_8,0.053747336,0.650667571,0.063686257,0.025020207,,,,,,,
306,1_34_9,0.053845073,0.515130022,0.063453674,0.036479092,,,,,,,
307,1_35_1,0.09545539,0.565581065,0.157066815,0.241082621,,,,,,,
308,1_35_2,0.104586822,0.725379632,0.17463363,0.296521466,,,,,,,
309,1_35_3,0.057206706,0.625580879,0.073256001,0.034892511,,,,,,,
310,1_35_4,0.055181689,0.616615638,0.067182414,0.036233938,,,,,,,
311,1_35_5,0.094631134,0.63511578,0.154171556,0.233365614,,,,,,,
312,1_35_6,0.064055495,0.596689435,0.090679362,0.066134113,,,,,,,
313,1_35_7,0.172025902,0.665220347,0.303662639,0.844325803,,,,,,,
314,1_35_8,0.180646854,0.685656765,0.319825138,0.948198345,,,,,,,
315,1_35_9,0.081583267,0.649291714,0.12685488,0.145844216,,,,,,,
316,1_36_1,0.052381602,0.62687947,0.059635012,0.014658632,,,,,,,
317,1_36_2,0.186981486,0.714289044,0.332019352,1.040411971,,,,,,,
318,1_36_3,0.115323996,0.681940488,0.194540529,0.367022052,,,,,,,
319,1_36_4,0.160152394,0.701306444,0.280834428,0.716792903,,,,,,,
320,1_36_5,0.051677814,0.458591351,0.055637238,0.045945512,,,,,,,
321,1_36_6,0.050787467,0.674781089,0.051312928,0.014232503,,,,,,,
322,1_36_7,0.088973587,0.663152778,0.14284727,0.194924024,,,,,,,
323,1_36_8,0.085645709,0.646828338,0.136045175,0.169129207,,,,,,,
324,1_36_9,0.051917376,0.631588215,0.057098604,0.085221594,,,,,,,
325,1_37_1,0.051396363,0.55864622,0.0550549,0.022869717,,,,,,,
326,1_37_2,0.08003142,0.727861157,0.123830851,0.14569449,,,,,,,
327,1_37_3,0.06025117,0.623997377,0.080639342,0.032773748,,,,,,,
328,1_37_4,0.100023697,0.585678868,0.164964254,0.266519046,,,,,,,
329,1_37_5,0.051318473,0.689066673,0.055967246,0.006997766,,,,,,,
330,1_37_6,0.070340806,0.654295435,0.104214402,0.074594863,,,,,,,
331,1_37_7,0.052245728,0.464918796,0.058490189,0.032782037,,,,,,,
332,1_37_8,0.063853805,0.687921044,0.089261129,0.043998402,,,,,,,
333,1_37_9,0.104001721,0.706480862,0.172030863,0.269573307,,,,,,,
334,1_38_1,0.057652123,0.638405006,0.074296862,0.026357604,,,,,,,
335,1_38_2,0.053805344,0.648232681,0.063899174,0.019331565,,,,,,,
336,1_38_3,0.051406352,0.503858564,0.053225998,0.021820502,,,,,,,
337,1_38_4,0.095090196,0.55951673,0.156382819,0.241685202,,,,,,,
338,1_38_5,0.174261372,0.6872756,0.308209207,0.870511607,,,,,,,
339,1_38_6,0.057303809,0.613543679,0.073703792,0.030320666,,,,,,,
340,1_38_7,0.055319148,0.518014814,0.067388045,0.058731323,,,,,,,
341,1_38_8,0.095156383,0.698216946,0.155724416,0.231070358,,,,,,,
342,1_38_9,0.064159784,0.457659483,0.0907217,0.059957606,,,,,,,
343,1_39_1,0.10393813,0.723518487,0.172224229,0.267675811,,,,,,,
344,1_39_2,0.181510131,0.746585144,0.321347866,0.951454918,,,,,,,
345,1_39_3,0.0809211,0.668592784,0.126212318,0.138198712,,,,,,,
346,1_39_4,0.050985775,0.634445552,0.052521646,0.009538593,,,,,,,
347,1_39_5,0.117884176,0.657202832,0.200193887,0.373775942,,,,,,,
348,1_39_6,0.115153877,0.58602435,0.194597476,0.357870642,,,,,,,
349,1_39_7,0.160097124,0.667171156,0.28111595,0.734204321,,,,,,,
350,1_39_8,0.051232101,0.627607478,0.054426988,0.013005548,,,,,,,
351,1_39_9,0.050778496,0.652573759,0.051426906,0.004483052,,,,,,,
352,1_40_1,0.089122773,0.707317561,0.142857477,0.194765769,,,,,,,
353,1_40_2,0.068363181,0.503953984,0.098677669,0.060999257,,,,,,,
354,1_40_3,0.050980374,0.665333688,0.051400011,0.005586803,,,,,,,
355,1_40_4,0.05122351,0.620791082,0.054277442,0.016100243,,,,,,,
